,f1-score,precision,recall,support
0.0,0.7110117384013415,0.7114093959731543,0.7106145251396648,1790.0
1.0,0.7604218985434456,0.7114661654135338,0.8166127292340885,1854.0
2.0,0.02173913043478261,0.2222222222222222,0.011428571428571429,175.0
3.0,0.018518518518518517,1.0,0.009345794392523364,107.0
accuracy,0.7103922567498726,0.7103922567498726,0.7103922567498726,0.7103922567498726
macro avg,0.37792282147452205,0.6612744459022276,0.38700040504871197,3926.0
weighted avg,0.684747590663657,0.6974961738047699,0.7103922567498726,3926.0
,f1-score,precision,recall,support
0.0,0.7102335928809789,0.7070874861572536,0.7134078212290503,1790.0
1.0,0.7461480171760546,0.7016627078384798,0.796655879180151,1854.0
2.0,0.010989010989010988,0.14285714285714285,0.005714285714285714,175.0
3.0,0.017391304347826087,0.125,0.009345794392523364,107.0
accuracy,0.7019867549668874,0.7019867549668874,0.7019867549668874,0.7019867549668874
macro avg,0.3711904813484676,0.41915183421321905,0.3812809451290026,3926.0
weighted avg,0.6771422571547764,0.663511018989818,0.7019867549668874,3926.0
